state,relationship_to_reference_person,sex,race_ethnicity,tax_form,event_type,housing_type
AL,Reference person,Female,White,W2,creation,Household
AK,Opposite-sex spouse,Male,Black,1099,death,Carceral
AZ,Opposite-sex unmarried partner,,Asian,,,Nursing home
AR,Same-sex spouse,,AIAN,,,Other institutional
CA,Same-sex unmarried partner,,NHOPI,,,College
CO,Biological child,,Multiracial or Other,,,Military
CT,Adopted child,,Latino,,,Other noninstitutional
DE,Stepchild,,,,,
FL,Sibling,,,,,
GA,Parent,,,,,
HI,Grandchild,,,,,
ID,Parent-in-law,,,,,
IL,Child-in-law,,,,,
IN,Other relative,,,,,
IA,Roommate or housemate,,,,,
KS,Foster child,,,,,
KY,Other nonrelative,,,,,
LA,Institutionalized group quarters population,,,,,
ME,Noninstitutionalized group quarters population,,,,,
MD,,,,,,
MA,,,,,,
MI,,,,,,
MN,,,,,,
MS,,,,,,
MO,,,,,,
MT,,,,,,
NE,,,,,,
NV,,,,,,
NH,,,,,,
NJ,,,,,,
NM,,,,,,
NY,,,,,,
NC,,,,,,
ND,,,,,,
OH,,,,,,
OK,,,,,,
OR,,,,,,
PA,,,,,,
RI,,,,,,
SC,,,,,,
SD,,,,,,
TN,,,,,,
TX,,,,,,
UT,,,,,,
VT,,,,,,
VA,,,,,,
WA,,,,,,
WV,,,,,,
WI,,,,,,
WY,,,,,,
DC,,,,,,
